OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
119.5,-26.1
119.8,-33.8
122.3,-25.4
127.2,-16.6
129.3,-28.9
131.3,-29.9
136.5,-11.7
137.8,-13.7
142.4,6.1
145.9,-15.9
142.5,-26.4
148.5,-15.9
151.1,-15.8
147.9,-23.6
156.1,3.5
149.1,-25.1
149.4,-25.6
0.0,0.0
157.1,-17.6
153.7,-22.3
140.4,-36.5
137.2,-39.7
0.0,0.0
139.6,-37.3
0.0,0.0
138.4,-37.8
173.2,-4.0
165.2,-11.5
159.6,-16.5
139.9,-34.9
137.5,-36.7
139.9,-33.9
0.0,0.0
154.4,-18.0
154.8,-16.5
144.6,-26.4
164.3,11.7
145.4,-23.6
148.7,-17.2
0.0,0.0
134.1,-31.8
145.9,-14.1
137.9,-23.3
136.8,-23.2
142.0,-13.6
136.2,-20.5
128.9,-29.1
0.0,0.0
127.8,-27.3
134.1,-15.1
121.9,-32.4
134.0,-5.5
133.5,-2.0
132.8,0.9
125.8,-14.3
119.7,-14.7
123.5,30.2
122.2,13.1
116.5,-6.5
113.0,-12.8
0.0,0.0
151.4,-11.7
157.2,-2.4
154.8,-15.6
0.0,0.0
0.0,0.0
151.9,-25.0
143.4,-33.6
145.9,-31.1
152.0,-25.1
0.0,0.0
157.1,-19.9
146.0,-30.2
0.0,0.0
165.9,-10.3
175.2,0.8
157.8,-16.9
152.1,-21.9
151.3,-21.9
164.2,-6.9
144.4,-27.4
154.5,-15.6
147.0,-22.7
141.4,-27.8
135.5,-33.1
139.5,-27.9
138.1,-28.3
149.9,-11.9
0.0,0.0
143.1,-17.8
139.3,-21.4
136.0,-24.1
143.9,-9.9
132.5,-25.6
133.2,-22.9
132.9,-21.4
142.3,2.1
132.2,-18.2
131.7,-16.5
131.6,-13.9
134.6,-2.9
130.2,-10.6
127.7,-12.9
129.3,-4.6
128.9,-0.6
128.4,3.9
124.7,10.5
114.2,-2.9
34.5,8.2
78.0,70.2
65.3,-37.0
127.3,0.9
143.2,-33.8
168.7,-8.0
137.4,-38.8
